sensor_index,last_modified,date_created,last_seen,location_type,rssi,uptime,latency,latitude,longitude,altitude
33861,1665608719,1561734574,1708525430,0,-66,64783,273,40.021294,-82.990456,859
34121,1573668824,1562172437,1708525448,1,-91,14536,2201,40.441742,-79.9533,897
34399,1563828517,1562872551,1708525378,1,-88,9834,271,29.762451,-95.46637,57
34427,1631827422,1562872649,1708525418,0,-66,40805,270,43.15627,-80.76917,1006
34431,1563825591,1562872683,1708525244,1,-83,67277,2319,29.762514,-95.46598,57
34443,1563412206,1562872726,1708525433,0,-68,25765,561,35.131958,-85.19717,830
34449,1564149459,1562872785,1708525484,0,-78,10472,248,40.69132,-80.28055,731
34511,1571879109,1562877981,1708525415,0,-76,57635,447,25.640432,-100.392265,2495
34569,1572291796,1562946754,1708525387,0,-78,23307,453,25.651388,-100.41089,2369
34591,1659039773,1562954451,1708525433,0,-61,3191,471,32.8305,-79.9574,9
34621,1608670261,1562954612,1708525394,0,-64,42815,186,34.01573,-84.28663,1095
34641,1579110939,1562958507,1708525446,0,-85,35593,3182,25.662136,-100.4208,2158
34779,1676751595,1563381161,1708525418,0,-61,61910,397,30.483898,-84.06749,146
34789,1564160713,1563381191,1708525402,0,-56,27117,258,42.277695,-83.787094,967
34835,1625610168,1563384483,1708516344,0,-87,36,7180,29.302658,-103.17785,3463
34865,1658507962,1563386453,1708525471,0,-63,35485,404,33.989105,-81.17491,340
34905,1622145647,1563390953,1708525405,0,-77,3498,938,25.564653,-100.24257,2074
35165,1564852313,1563464841,1708521373,0,-83,18,null,40.444546,-79.89944,986
35225,1593963194,1563469405,1708525442,0,-51,16706,313,39.08473,-84.386696,737
35359,1569709027,1563480626,1708525438,0,-57,61261,383,32.8358,-79.95688,15
35399,1685048688,1563493980,1708525369,0,-69,29109,313,39.103058,-84.24635,840
35461,1581537349,1563990318,1708525445,0,-82,10138,308,38.656483,-90.19862,449
35477,1588902096,1563990353,1708525448,0,-59,45487,355,46.718594,-92.0941,639
35481,1586542491,1563990374,1708525425,0,-91,68843,513,46.70032,-92.20921,612
35549,1570041100,1563996674,1708525439,0,-69,70764,342,46.77481,-92.13601,997
35605,1569875065,1564009500,1708525488,0,-78,15124,380,46.669407,-92.07905,666
35701,1574111993,1564068829,1708525440,0,-76,8928,349,46.81107,-92.05972,670
